investment_code,anioEje,mesEje,entidad,siglas,codigoReporte,nombre,tipoProyecto,codigoUnico,costoInversion,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,totalEjecutadoAlMes,fechaPrimerDevengado,fechaFinDevengado,piaHistoricoPorAnio,pimHistoricoPorAnio,sumaTotalEjecAlMes
2500995,2021,12,51,ELECTRO PUNO S.A.A.,10,EMPRESA DE SERVICIO PUBLICO DE ELECTRICIDAD DE PUNO S.A.A.,PIP,2500995,1034000,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-02 05:00:00,2022-01-01 05:00:00,134000,0,0
2656746,2024,12,23,ESSALUD,10,ESSALUD,I.OPT,2656746,521331,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-11-18 05:00:00,2025-01-04 05:00:00,0,254970,0
2656746,2026,1,23,ESSALUD,10,ESSALUD,IOARR,2656746,521331,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-11-18 05:00:00,2025-01-04 05:00:00,310371,310371,0
2395076,2019,12,15,SEDAPAL,10,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA S.A.,PIP,2395076,6030000,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-01-06 05:00:00,2020-01-04 05:00:00,378000,0,0
2614924,2024,12,97,HIDRANDINA S.A.,10,HIDRANDINA S.A.,PIP,2614924,8208399,0,31745,0,0,0,0,130290,4073,21104,6236,18879,17502,229829,2024-02-12 05:00:00,2025-12-06 05:00:00,135682,348507,229829
2614924,2025,12,97,HIDRANDINA S.A.,10,HIDRANDINA S.A.,PIP,2614924,8208399,0,15465,9100,19357,13000,1710130,1172348,54797,979652,19895,8140,733832,4735716,2024-02-12 05:00:00,2025-12-06 05:00:00,2762118,2762118,4965545
2386567,2019,12,50,ELECTRO-ORIENTE S.A.,10,EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD DEL ORIENTE S.A.,PIP,2386567,18618981,0,0,0,0,0,0,0,0,0,237357,193532,6500,437389,2019-01-14 05:00:00,2026-01-06 05:00:00,100000,213130,437389
2386567,2021,12,50,ELECTRO-ORIENTE S.A.,10,EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD DEL ORIENTE S.A.,PIP,2386567,17239797,4370,5700,0,0,41638,0,0,0,0,0,0,0,51708,2019-01-14 05:00:00,2026-01-06 05:00:00,2930766,51708,489098
2386567,2023,12,50,ELECTRO-ORIENTE S.A.,10,EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD DEL ORIENTE S.A.,PIP,2386567,29102414,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-01-14 05:00:00,2026-01-06 05:00:00,1317145,267859,489098
2386567,2024,12,50,ELECTRO-ORIENTE S.A.,10,EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD DEL ORIENTE S.A.,PIP,2386567,30568993,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-01-14 05:00:00,2026-01-06 05:00:00,10000,3724,489098
2386567,2025,12,50,ELECTRO-ORIENTE S.A.,10,EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD DEL ORIENTE S.A.,PIP,2386567,34996873,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-01-14 05:00:00,2026-01-06 05:00:00,10000001,4856713,489098
2429930,2022,12,97,HIDRANDINA S.A.,10,HIDRANDINA S.A.,PIP,2429930,3000000,0,0,0,0,0,26191,29476,22766,51591,886890,375628,3921,1396463,2022-01-01 05:00:00,2025-09-06 05:00:00,65242,1496414,1396463
2429930,2023,12,97,HIDRANDINA S.A.,10,HIDRANDINA S.A.,PIP,2429930,3000000,548441,228684,21142,164227,0,0,232,0,0,0,66070,303,1029099,2022-01-01 05:00:00,2025-09-06 05:00:00,926324,1028796,2425562
2429930,2024,12,97,HIDRANDINA S.A.,10,HIDRANDINA S.A.,PIP,2429930,3540000,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-01-01 05:00:00,2025-09-06 05:00:00,35000,0,2425562
2429930,2025,12,97,HIDRANDINA S.A.,10,HIDRANDINA S.A.,PIP,2429930,3540000,0,0,0,0,0,0,0,0,8510,0,0,0,8510,2022-01-01 05:00:00,2025-09-06 05:00:00,0,0,2434072
